Product Title,Product Price,Product Rating,Product Reviews,Seller Name,Seller Rating,Seller Followers,Seller Products
JAIPUR kurti,₹455,3.7,2 Reviews,Humisha Creation,"3.81,996 Ratings",42Followers,14Products
crepe kurtis,₹243,3.6,1478 Reviews,G N NILKANTH ENTERPRISE,"3.645,602 Ratings",833Followers,41Products
BLUE ANARKALI KURTI,₹333,4.1,846 Reviews,mola ali enterprises,"4.17,955 Ratings",145Followers,15Products
Myra Fabulous Kurtis,₹395,4.2,NA,MS Enterprises,4.214 Ratings,2Followers,2Products
New Stylish Trendy Printed Anarkali Kurti for Women's Ethnic Wear Gown,₹398,4.1,504 Reviews,kurti world,"4.06,464 Ratings",198Followers,351Products
Kurtis,₹231,3.8,1196 Reviews,GEETAJI FASHION,"3.89,532 Ratings",108Followers,9Products
Crepe Combo Kurti Printed Designer Kurti - 6 Top Kurti Combo,₹900,3.4,1 Reviews,Space Stone,3.9419 Ratings,25Followers,"2,360Products"
Banita Refined Kurtis,₹285,3.7,204 Reviews,great one india,"3.613,529 Ratings",358Followers,56Products
Women's Printed Crepe Long Anarkali Kurti,₹298,3.9,3238 Reviews,FOREVER YO,"3.831,101 Ratings",282Followers,33Products
Women/Girls Crepe Blend  Printed kaftan Below Knee,₹500,NA,NA,Rudit Creation,4.439 Ratings,1Follower,115Products
Women's Regular Fit Crepe Straight Kurti (Pack Of 2 Kurta),₹270,3.8,224 Reviews,HIVA WESTERN COLLECTION,"3.8203,586 Ratings","2,148Followers",449Products
Women's Printed Cotton Slub Anarkali Kurti,₹271,3.8,157 Reviews,JIYA.FASHION,"3.91,940 Ratings",33Followers,64Products
women cotton stylish  kurta,₹293,4.1,1 Reviews,AM FASHION,"3.68,928 Ratings",155Followers,35Products
Urban Kanya Sky Blue Cotton Kantha Kurti,₹271,4.1,111 Reviews,Urban Kanya,"4.110,059 Ratings",258Followers,12Products
Daily Wear Women's Khadi Cotton Short Kurti Tunic Top,₹435,3.9,4 Reviews,DESAI.ENTERPRISE.,3.750 Ratings,7Followers,78Products
Women Rayon Printed Flared Kurta,₹323,4.1,205 Reviews,CREATIVES WORLD,"4.01,857 Ratings",54Followers,33Products
WOMEN CREPE KURTI,₹191,3.8,202 Reviews,Otti baa enterprise,"3.635,329 Ratings","1,048Followers",24Products
WOMEN FANCY KURTI,₹211,4.1,2 Reviews,SURBHI GARMENTS,4.519 Ratings,5Followers,4Products
Kurti,₹385,4.1,2391 Reviews,SHAH MS,"4.118,898 Ratings",653Followers,4Products
Chitrarekha Fabulous Kurtis,₹363,4.1,2842 Reviews,Mani exports,"4.0134,881 Ratings","3,811Followers",55Products
Rayon Kurtis with Cotti,₹393,3.7,67 Reviews,S F CREATION,"3.78,664 Ratings",267Followers,35Products
Aakarsha Refined Kurtis,₹359,4.1,1843 Reviews,BAIRAJ,"4.043,071 Ratings","1,115Followers",44Products
Women Striped Kurtis,₹299,4.0,2506 Reviews,Navya Ethnic Center,"3.887,753 Ratings","1,293Followers",304Products
WHITE LOTUS Women's Rayon Printed Kurti with Pant,₹459,3.3,1 Reviews,WHITE    LOTUS,3.9102 Ratings,4Followers,14Products
